ln_ing_lab,lngasfam,nucleo,age_squared,sch,niv_edu_g_Secundaria completa,niv_edu_g_Secundaria incompleta,niv_edu_g_Superior completa,niv_edu_g_Superior incompleta,pobreza_pobre extremo,pobreza_pobre no extremo,jefe_Yes,urban_urbano,ramactsec_Sector Secundario,ramactsec_Sector Terciario,male_Mujer
6.448757648468018,7.364911079406738,1,625,14,False,False,False,True,False,False,True,True,False,True,True
5.71400785446167,7.364911079406738,0,841,16,False,False,True,False,False,False,True,True,False,True,True
7.098513126373291,7.72599983215332,1,2304,10,False,True,False,False,False,False,True,True,False,False,True
6.750126361846924,7.83466625213623,1,1444,14,False,False,True,False,False,False,True,True,False,True,False
7.102293491363525,7.83466625213623,1,1849,14,False,False,True,False,False,False,False,True,False,True,True
7.243929862976074,7.633529186248779,1,2401,8,False,True,False,False,False,False,True,True,False,True,False
6.351176261901855,7.633529186248779,1,2500,4,False,False,False,False,False,False,False,True,True,False,True
7.525460243225098,7.815717697143555,1,1764,13,False,False,False,True,False,False,True,True,False,True,False
5.991880893707275,7.815717697143555,1,1156,14,False,False,False,True,False,False,False,True,False,True,True
7.506317138671875,7.474359035491943,1,2209,6,False,False,False,False,False,True,True,True,True,False,False
7.323280811309814,7.85996675491333,1,2809,11,True,False,False,False,False,False,True,True,False,True,False
6.199155807495117,7.683560848236084,1,1936,11,True,False,False,False,False,False,True,True,False,True,True
7.027758121490479,7.702842712402344,1,1521,11,True,False,False,False,False,False,True,True,False,True,False
6.690738677978516,7.702842712402344,1,1600,2,False,False,False,False,False,False,False,True,False,True,True
5.297066688537598,7.702842712402344,1,361,13,False,False,False,True,False,False,False,True,True,False,True
6.402331829071045,7.953625202178955,1,2500,12,False,False,False,True,False,False,True,True,False,True,False
5.626421451568604,7.953625202178955,1,2209,10,False,True,False,False,False,False,False,True,False,True,True
6.622514724731445,7.953625202178955,1,576,11,True,False,False,False,False,False,False,True,True,False,False
6.056784152984619,7.953625202178955,1,484,11,True,False,False,False,False,False,False,True,True,False,False
7.833930492401123,8.124337196350098,1,4225,8,False,True,False,False,False,False,True,True,False,True,False
6.878927230834961,8.124337196350098,1,3249,1,False,False,False,False,False,False,False,True,False,True,True
5.130391597747803,7.574031352996826,1,4900,9,False,True,False,False,False,False,True,True,False,True,True
6.976737022399902,7.574031352996826,1,1681,9,False,True,False,False,False,False,False,True,False,True,True
6.818832874298096,7.088496685028076,0,5776,14,False,False,True,False,False,False,True,True,False,True,False
7.735105514526367,8.265493392944336,1,625,16,False,False,True,False,False,False,True,True,False,True,False
5.088110446929932,8.265493392944336,1,3481,8,False,True,False,False,False,False,False,True,False,True,True
7.377185821533203,8.049872398376465,1,1369,14,False,False,True,False,False,False,True,True,False,True,False
6.614501953125,8.049872398376465,1,1369,14,False,False,True,False,False,False,False,True,False,True,True
4.5968017578125,7.19091796875,1,1681,11,True,False,False,False,False,False,True,True,False,True,True
6.248526096343994,7.19091796875,1,484,12,False,False,False,True,False,False,False,True,False,True,False
7.806221485137939,7.848870754241943,1,961,14,False,False,True,False,False,False,False,True,True,False,False
6.410209625378831,7.848870754241943,1,676,7,False,True,False,False,False,False,False,True,False,True,False
7.915621757507324,8.1273832321167,1,1156,13,False,False,False,True,False,False,True,True,False,True,True
5.540609836578369,8.042342185974121,1,3844,5,False,False,False,False,False,False,True,True,False,True,True
5.695694446563721,8.042342185974121,1,1444,5,False,False,False,False,False,False,False,True,False,True,False
7.479111194610596,8.042342185974121,1,676,15,False,False,False,True,False,False,False,True,False,True,True
7.382176399230957,8.042342185974121,1,484,11,True,False,False,False,False,False,False,True,False,True,False
7.090354442596436,7.42957067489624,1,1936,11,True,False,False,False,False,False,True,True,False,True,True
7.21811580657959,8.274391174316406,0,625,14,False,False,False,True,False,False,True,True,True,False,True
6.514095306396484,8.274391174316406,0,529,15,False,False,False,True,False,False,True,True,False,True,False
