"country_name","country_code","indicator_name","indicator_code","debt"
"Afghanistan","AFG","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","83316410.4"
"Afghanistan","AFG","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","29595229.2"
"Afghanistan","AFG","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","51869345.5"
"Afghanistan","AFG","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","75469682.8"
"Afghanistan","AFG","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","17572253.7"
"Afghanistan","AFG","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","48985079.6"
"Afghanistan","AFG","PPG, multilateral (DIS, current US$)","DT.DIS.MLAT.CD","7846727.6"
"Afghanistan","AFG","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","11245975.5"
"Afghanistan","AFG","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","100854425.1"
"Afghanistan","AFG","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","83316410.4"
"Afghanistan","AFG","PPG, official creditors (INT, current US$)","DT.INT.OFFT.CD","28818229.2"
"Afghanistan","AFG","Principal repayments on external debt, long-term (AMT, current US$)","DT.AMT.DLXF.CD","105646425.1"
"Afghanistan","AFG","Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)","DT.AMT.DPNG.CD","4792000.0"
"Albania","ALB","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","977998783.6"
"Albania","ALB","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","392878497.1"
"Albania","ALB","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","95737617.9"
"Albania","ALB","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","258035113.6"
"Albania","ALB","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","19332717.8"
"Albania","ALB","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","280574538.0"
"Albania","ALB","PPG, multilateral (DIS, current US$)","DT.DIS.MLAT.CD","173125525.3"
"Albania","ALB","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","92149520.2"
"Albania","ALB","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","376312155.9"
"Albania","ALB","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","431160638.9"
"Albania","ALB","PPG, official creditors (INT, current US$)","DT.INT.OFFT.CD","111482238.0"
"Albania","ALB","Principal repayments on external debt, long-term (AMT, current US$)","DT.AMT.DLXF.CD","1588910978.9"
"Albania","ALB","Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)","DT.AMT.DPNG.CD","1088693810.0"
"Algeria","DZA","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","7794943.6"
"Algeria","DZA","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","20127281.4"
"Algeria","DZA","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","26341719.8"
"Algeria","DZA","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","7794943.6"
"Algeria","DZA","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","1648826.4"
"Algeria","DZA","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","66117583.9"
"Algeria","DZA","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","6135455.0"
"Algeria","DZA","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","92459303.7"
"Algeria","DZA","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","7794943.6"
